Részvény: AAA

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
2009-01-13	79.0000	85.0000	78.0000	85.0000	16191
2009-01-14	84.0000	80.0000	80.0000	84.0000	2210
2009-01-15	80.0000	80.0000	80.0000	80.0000	990
2009-01-16	80.0000	82.0000	80.0000	82.0000	9590
2009-01-19	84.0000	81.0000	81.0000	84.0000	1926
2009-01-20	79.0000	85.0000	77.0000	85.0000	6985
2009-01-22	83.0000	78.0000	78.0000	83.0000	3010
2009-01-23	80.0000	79.0000	75.0000	80.0000	3783
2009-01-26	79.0000	80.0000	79.0000	80.0000	2000
2009-01-27	79.0000	79.0000	79.0000	79.0000	800
2009-01-28	79.0000	79.0000	77.0000	79.0000	903
2009-01-29	78.0000	80.0000	77.0000	80.0000	12865
2009-01-30	79.0000	79.0000	79.0000	79.0000	100
2009-02-03	76.0000	77.0000	76.0000	77.0000	3860
2009-02-04	77.0000	83.0000	76.0000	83.0000	6479
2009-02-05	79.0000	80.0000	78.0000	80.0000	3060
2009-02-06	78.0000	78.0000	77.0000	78.0000	4270
2009-02-09	78.0000	80.0000	78.0000	80.0000	1233
2009-02-10	78.0000	76.0000	75.0000	78.0000	2483
2009-02-11	77.0000	77.0000	77.0000	77.0000	310
2009-02-12	77.0000	77.0000	77.0000	77.0000	1200
2009-02-13	78.0000	76.0000	76.0000	78.0000	1826
2009-02-17	76.0000	73.0000	72.0000	76.0000	6199
2009-02-18	70.0000	65.0000	65.0000	70.0000	11776
2009-02-19	70.0000	65.0000	64.0000	70.0000	376
2009-02-20	65.0000	70.0000	65.0000	73.0000	985
2009-02-23	69.0000	69.0000	69.0000	69.0000	1000
2009-02-24	67.0000	67.0000	63.0000	67.0000	6568
2009-02-25	66.0000	63.0000	58.0000	66.0000	22882
2009-02-26	65.0000	65.0000	65.0000	65.0000	300
2009-02-27	65.0000	65.0000	65.0000	65.0000	1450
2009-03-02	60.0000	57.0000	56.0000	60.0000	6912
2009-03-03	59.0000	60.0000	59.0000	60.0000	1701
2009-03-04	60.0000	57.0000	55.0000	60.0000	3854
2009-03-05	57.0000	56.0000	56.0000	57.0000	100
2009-03-06	56.0000	52.0000	51.0000	56.0000	2145
2009-03-09	51.0000	52.0000	51.0000	52.0000	109
2009-03-11	52.0000	52.0000	52.0000	52.0000	400
2009-03-12	56.0000	56.0000	56.0000	56.0000	134
2009-03-13	54.0000	57.0000	54.0000	57.0000	1300
