Részvény: BUX0912

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
2008-09-17	19400.0000	19600.0000	19400.0000	19600.0000	400
2008-09-18	18800.0000	19000.0000	18800.0000	19000.0000	130
2008-09-19	0.0000	19200.0000	0.0000	0.0000	0
2008-09-22	20600.0000	20600.0000	20600.0000	20600.0000	1
2008-09-23	0.0000	20600.0000	0.0000	0.0000	0
2008-09-24	19800.0000	19800.0000	19800.0000	19800.0000	50
2008-09-25	0.0000	19938.5000	0.0000	0.0000	0
2008-09-26	0.0000	20519.5000	0.0000	0.0000	0
2008-09-29	0.0000	20784.5000	0.0000	0.0000	0
2008-09-30	20280.0000	20280.0000	20280.0000	20280.0000	2
2008-10-01	0.0000	20280.0000	0.0000	0.0000	0
2008-10-02	0.0000	20603.5000	0.0000	0.0000	0
2008-10-03	0.0000	20603.5000	0.0000	0.0000	0
2008-10-06	0.0000	20603.5000	0.0000	0.0000	0
2008-10-07	0.0000	20603.5000	0.0000	0.0000	0
2008-10-08	0.0000	20092.0000	0.0000	0.0000	0
2008-10-09	17700.0000	17700.0000	17700.0000	17700.0000	53
2008-10-10	16400.0000	14507.0000	14507.0000	16400.0000	2
2008-10-13	17899.0000	16000.0000	17899.0000	17899.0000	2
2008-10-14	17102.5000	17104.5000	17102.5000	17102.5000	1
2008-10-15	17110.0000	16000.0000	17110.0000	17110.0000	1
2008-10-16	15500.0000	14501.0000	14501.0000	15500.0000	2
2008-10-17	14770.0000	13251.0000	13000.0000	14870.0000	208
2008-10-20	13600.0000	13990.0000	13000.0000	13990.0000	24
2008-10-21	0.0000	13990.0000	0.0000	0.0000	0
2008-10-22	13390.0000	13300.0000	13300.0000	13390.0000	8
2008-10-27	13100.0000	13000.0000	12800.0000	13100.0000	31
2008-10-28	13210.0000	13210.0000	13210.0000	13210.0000	1
2008-10-29	13500.0000	14800.0000	13500.0000	15500.0000	2922
2008-10-30	15685.0000	16150.0000	15685.0000	16199.0000	22
2008-10-31	16200.0000	15200.0000	16199.0000	16200.0000	3571
2008-11-03	15000.0000	15350.0000	15000.0000	15000.0000	3
2008-11-04	15350.0000	16005.0000	15200.0000	16900.0000	2709
2008-11-05	16000.0000	16000.0000	16000.0000	16000.0000	2
2008-11-06	15303.0000	14850.0000	14850.0000	15303.0000	25
2008-11-07	14650.0000	14550.0000	14200.0000	14650.0000	2960
2008-11-10	0.0000	14603.0000	0.0000	0.0000	50
2008-11-11	14400.0000	13990.0000	13990.0000	14400.0000	19
2008-11-12	13800.0000	13500.0000	13500.0000	13800.0000	104
2008-11-13	12790.0000	13900.0000	12790.0000	14000.0000	226
2008-11-14	14000.0000	14000.0000	14000.0000	14000.0000	1
2008-11-17	14000.0000	13501.0000	13501.0000	14000.0000	11
2008-11-18	13100.0000	13000.5000	13000.0000	13100.0000	17
2008-11-19	0.0000	13020.0000	0.0000	0.0000	0
2008-11-20	12705.0000	12300.0000	12300.0000	12705.0000	161
2008-11-21	12310.0000	12400.0000	12310.0000	12400.0000	1170
2008-11-24	12999.0000	13200.0000	12999.0000	13299.0000	51
2008-11-25	13003.0000	13400.0000	13003.0000	13400.0000	9
2008-11-26	13100.0000	13350.0000	13003.0000	13350.0000	7
2008-11-27	13350.0000	13350.0000	13350.0000	13350.0000	1
2008-11-28	13788.0000	13788.0000	13788.0000	13788.0000	2
2008-12-01	13800.0000	13600.0000	13500.0000	13925.0000	343
2008-12-02	13390.0000	13805.0000	13000.0000	13888.0000	246
2008-12-03	13850.0000	13520.0000	13500.0000	13900.0000	113
2008-12-04	13860.0000	13730.0000	13520.0000	13900.0000	128
2008-12-05	13850.0000	13500.0000	13500.0000	13900.0000	127
