Részvény: BUX

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
1991-08-26	0.0000	939.0000	0.0000	0.0000	0
1991-08-27	0.0000	942.0000	0.0000	0.0000	0
1991-08-28	0.0000	945.0000	0.0000	0.0000	0
1991-08-29	0.0000	943.0000	0.0000	0.0000	0
1991-08-30	0.0000	936.0000	0.0000	0.0000	0
1991-09-02	0.0000	935.0000	0.0000	0.0000	0
1991-09-03	0.0000	912.0000	0.0000	0.0000	0
1991-09-04	0.0000	920.0000	0.0000	0.0000	0
1991-09-05	0.0000	922.0000	0.0000	0.0000	0
1991-09-06	0.0000	917.0000	0.0000	0.0000	0
1991-09-09	0.0000	921.0000	0.0000	0.0000	0
1991-09-10	0.0000	913.0000	0.0000	0.0000	0
1991-09-11	0.0000	919.0000	0.0000	0.0000	0
1991-09-12	0.0000	914.0000	0.0000	0.0000	0
1991-09-13	0.0000	919.0000	0.0000	0.0000	0
1991-09-16	0.0000	912.0000	0.0000	0.0000	0
1991-09-17	0.0000	913.0000	0.0000	0.0000	0
1991-09-18	0.0000	911.0000	0.0000	0.0000	0
1991-09-19	0.0000	904.0000	0.0000	0.0000	0
1991-09-20	0.0000	907.0000	0.0000	0.0000	0
1991-09-23	0.0000	894.0000	0.0000	0.0000	0
1991-09-24	0.0000	884.0000	0.0000	0.0000	0
1991-09-25	0.0000	873.0000	0.0000	0.0000	0
1991-09-26	0.0000	880.0000	0.0000	0.0000	0
1991-09-27	0.0000	878.0000	0.0000	0.0000	0
1991-09-30	0.0000	866.0000	0.0000	0.0000	0
1991-10-01	0.0000	866.0000	0.0000	0.0000	0
1991-10-02	0.0000	864.0000	0.0000	0.0000	0
1991-10-03	0.0000	863.0000	0.0000	0.0000	0
1991-10-04	0.0000	863.0000	0.0000	0.0000	0
1991-10-07	0.0000	862.0000	0.0000	0.0000	0
1991-10-08	0.0000	860.0000	0.0000	0.0000	0
1991-10-09	0.0000	860.0000	0.0000	0.0000	0
1991-10-10	0.0000	853.0000	0.0000	0.0000	0
1991-10-11	0.0000	841.0000	0.0000	0.0000	0
1991-10-14	0.0000	821.0000	0.0000	0.0000	0
1991-10-15	0.0000	822.0000	0.0000	0.0000	0
1991-10-16	0.0000	820.0000	0.0000	0.0000	0
1991-10-17	0.0000	824.0000	0.0000	0.0000	0
1991-10-18	0.0000	826.0000	0.0000	0.0000	0
1991-10-21	0.0000	828.0000	0.0000	0.0000	0
1991-10-22	0.0000	834.0000	0.0000	0.0000	0
1991-10-24	0.0000	838.0000	0.0000	0.0000	0
1991-10-25	0.0000	829.0000	0.0000	0.0000	0
1991-10-28	0.0000	829.0000	0.0000	0.0000	0
1991-10-29	0.0000	826.0000	0.0000	0.0000	0
1991-10-30	0.0000	829.0000	0.0000	0.0000	0
1991-10-31	0.0000	831.0000	0.0000	0.0000	0
1991-11-01	0.0000	836.0000	0.0000	0.0000	0
1991-11-04	0.0000	836.0000	0.0000	0.0000	0
1991-11-05	0.0000	835.0000	0.0000	0.0000	0
1991-11-06	0.0000	835.0000	0.0000	0.0000	0
1991-11-07	0.0000	832.0000	0.0000	0.0000	0
1991-11-08	0.0000	843.0000	0.0000	0.0000	0
1991-11-11	0.0000	849.0000	0.0000	0.0000	0
1991-11-12	0.0000	849.0000	0.0000	0.0000	0
1991-11-13	0.0000	856.0000	0.0000	0.0000	0
1991-11-14	0.0000	851.0000	0.0000	0.0000	0
1991-11-15	0.0000	853.0000	0.0000	0.0000	0
1991-11-18	0.0000	846.0000	0.0000	0.0000	0
1991-11-19	0.0000	842.0000	0.0000	0.0000	0
1991-11-20	0.0000	840.0000	0.0000	0.0000	0
1991-11-21	0.0000	828.0000	0.0000	0.0000	0
1991-11-22	0.0000	822.0000	0.0000	0.0000	0
1991-11-25	0.0000	826.0000	0.0000	0.0000	0
1991-11-26	0.0000	822.0000	0.0000	0.0000	0
1991-11-27	0.0000	813.0000	0.0000	0.0000	0
1991-11-28	0.0000	814.0000	0.0000	0.0000	0
1991-11-29	0.0000	813.0000	0.0000	0.0000	0
1991-12-02	0.0000	814.0000	0.0000	0.0000	0
1991-12-03	0.0000	815.0000	0.0000	0.0000	0
1991-12-04	0.0000	815.0000	0.0000	0.0000	0
1991-12-05	0.0000	815.0000	0.0000	0.0000	0
1991-12-06	0.0000	817.0000	0.0000	0.0000	0
1991-12-09	0.0000	819.0000	0.0000	0.0000	0
1991-12-10	0.0000	818.0000	0.0000	0.0000	0
1991-12-11	0.0000	797.0000	0.0000	0.0000	0
1991-12-12	0.0000	819.0000	0.0000	0.0000	0
1991-12-13	0.0000	818.0000	0.0000	0.0000	0
1991-12-16	0.0000	818.0000	0.0000	0.0000	0
1991-12-17	0.0000	820.0000	0.0000	0.0000	0
1991-12-18	0.0000	851.0000	0.0000	0.0000	0
1991-12-19	0.0000	829.0000	0.0000	0.0000	0
1991-12-20	0.0000	830.0000	0.0000	0.0000	0
1991-12-23	0.0000	834.0000	0.0000	0.0000	0
1991-12-27	0.0000	839.0000	0.0000	0.0000	0
1991-12-28	0.0000	848.0000	0.0000	0.0000	0
1991-12-30	0.0000	852.0000	0.0000	0.0000	0
1991-12-31	0.0000	837.0000	0.0000	0.0000	0
1992-01-06	0.0000	838.0000	0.0000	0.0000	0
1992-01-07	0.0000	837.0000	0.0000	0.0000	0
1992-01-08	0.0000	837.0000	0.0000	0.0000	0
1992-01-09	0.0000	842.0000	0.0000	0.0000	0
1992-01-10	0.0000	850.0000	0.0000	0.0000	0
1992-01-13	0.0000	859.0000	0.0000	0.0000	0
1992-01-14	0.0000	860.0000	0.0000	0.0000	0
1992-01-15	0.0000	860.0000	0.0000	0.0000	0
1992-01-16	0.0000	860.0000	0.0000	0.0000	0
1992-01-17	0.0000	855.0000	0.0000	0.0000	0
1992-01-20	0.0000	862.0000	0.0000	0.0000	0
1992-01-21	0.0000	865.0000	0.0000	0.0000	0
1992-01-22	0.0000	865.0000	0.0000	0.0000	0
1992-01-23	0.0000	860.0000	0.0000	0.0000	0
1992-01-24	0.0000	854.0000	0.0000	0.0000	0
1992-01-27	0.0000	847.0000	0.0000	0.0000	0
1992-01-28	0.0000	838.0000	0.0000	0.0000	0
1992-01-29	0.0000	836.0000	0.0000	0.0000	0
1992-01-30	0.0000	838.0000	0.0000	0.0000	0
1992-01-31	0.0000	853.0000	0.0000	0.0000	0
1992-02-03	0.0000	856.0000	0.0000	0.0000	0
1992-02-04	0.0000	856.0000	0.0000	0.0000	0
1992-02-05	0.0000	854.0000	0.0000	0.0000	0
1992-02-06	0.0000	852.0000	0.0000	0.0000	0
1992-02-07	0.0000	849.0000	0.0000	0.0000	0
1992-02-10	0.0000	852.0000	0.0000	0.0000	0
1992-02-11	0.0000	855.0000	0.0000	0.0000	0
1992-02-12	0.0000	856.0000	0.0000	0.0000	0
1992-02-13	0.0000	854.0000	0.0000	0.0000	0
1992-02-14	0.0000	848.0000	0.0000	0.0000	0
1992-02-17	0.0000	847.0000	0.0000	0.0000	0
1992-02-18	0.0000	839.0000	0.0000	0.0000	0
1992-02-19	0.0000	833.0000	0.0000	0.0000	0
1992-02-20	0.0000	830.0000	0.0000	0.0000	0
1992-02-21	0.0000	838.0000	0.0000	0.0000	0
1992-02-24	0.0000	840.0000	0.0000	0.0000	0
1992-02-25	0.0000	838.0000	0.0000	0.0000	0
1992-02-26	0.0000	831.0000	0.0000	0.0000	0
1992-02-27	0.0000	841.0000	0.0000	0.0000	0
1992-02-28	0.0000	848.0000	0.0000	0.0000	0
1992-03-02	0.0000	859.0000	0.0000	0.0000	0
1992-03-03	0.0000	871.0000	0.0000	0.0000	0
1992-03-04	0.0000	866.0000	0.0000	0.0000	0
1992-03-05	0.0000	864.0000	0.0000	0.0000	0
1992-03-06	0.0000	867.0000	0.0000	0.0000	0
1992-03-09	0.0000	867.0000	0.0000	0.0000	0
1992-03-10	0.0000	871.0000	0.0000	0.0000	0
1992-03-11	0.0000	875.0000	0.0000	0.0000	0
1992-03-12	0.0000	873.0000	0.0000	0.0000	0
1992-03-13	0.0000	879.0000	0.0000	0.0000	0
1992-03-16	0.0000	879.0000	0.0000	0.0000	0
1992-03-17	0.0000	890.0000	0.0000	0.0000	0
1992-03-18	0.0000	903.0000	0.0000	0.0000	0
1992-03-19	0.0000	908.0000	0.0000	0.0000	0
1992-03-20	0.0000	924.0000	0.0000	0.0000	0
1992-03-23	0.0000	929.0000	0.0000	0.0000	0
1992-03-24	0.0000	919.0000	0.0000	0.0000	0
1992-03-25	0.0000	930.0000	0.0000	0.0000	0
1992-03-26	0.0000	931.0000	0.0000	0.0000	0
1992-03-27	0.0000	923.0000	0.0000	0.0000	0
1992-03-30	0.0000	925.0000	0.0000	0.0000	0
1992-03-31	0.0000	930.0000	0.0000	0.0000	0
1992-04-01	0.0000	928.0000	0.0000	0.0000	0
1992-04-02	0.0000	927.0000	0.0000	0.0000	0
1992-04-03	0.0000	928.0000	0.0000	0.0000	0
1992-04-06	0.0000	925.0000	0.0000	0.0000	0
1992-04-07	0.0000	921.0000	0.0000	0.0000	0
1992-04-08	0.0000	918.0000	0.0000	0.0000	0
1992-04-09	0.0000	913.0000	0.0000	0.0000	0
1992-04-10	0.0000	916.0000	0.0000	0.0000	0
1992-04-13	0.0000	923.0000	0.0000	0.0000	0
1992-04-14	0.0000	927.0000	0.0000	0.0000	0
1992-04-15	0.0000	925.0000	0.0000	0.0000	0
1992-04-16	0.0000	928.0000	0.0000	0.0000	0
1992-04-17	0.0000	922.0000	0.0000	0.0000	0
1992-04-21	0.0000	916.0000	0.0000	0.0000	0
1992-04-22	0.0000	930.0000	0.0000	0.0000	0
1992-04-23	0.0000	942.0000	0.0000	0.0000	0
1992-04-24	0.0000	941.0000	0.0000	0.0000	0
1992-04-27	0.0000	964.0000	0.0000	0.0000	0
1992-04-28	0.0000	964.0000	0.0000	0.0000	0
1992-04-29	0.0000	961.0000	0.0000	0.0000	0
1992-04-30	0.0000	961.0000	0.0000	0.0000	0
1992-05-04	0.0000	931.0000	0.0000	0.0000	0
1992-05-05	0.0000	932.0000	0.0000	0.0000	0
1992-05-06	0.0000	935.0000	0.0000	0.0000	0
1992-05-07	0.0000	932.0000	0.0000	0.0000	0
1992-05-08	0.0000	937.0000	0.0000	0.0000	0
1992-05-11	0.0000	941.0000	0.0000	0.0000	0
